,Phenotype
Cell1874,3
Cell1875,3
Cell1876,3
Cell1877,3
Cell1878,3
Cell1879,3
Cell1880,3
Cell1881,3
Cell1882,3
Cell1883,3
Cell1884,3
Cell1885,3
Cell1886,3
Cell1887,3
Cell1888,3
Cell1889,3
Cell1890,3
Cell1891,3
Cell1892,5
Cell1893,5
Cell1894,5
Cell1895,5
Cell1896,5
Cell1897,5
Cell1898,5
Cell1899,5
Cell1900,5
Cell1901,5
Cell1902,5
Cell1903,5
Cell1904,5
Cell1905,5
Cell1906,5
Cell1907,5
Cell1908,5
Cell1909,5
Cell1910,5
Cell1911,5
Cell1912,5
Cell1913,5
Cell1914,5
Cell1915,5
Cell1916,5
Cell1917,5
Cell1918,5
Cell1919,5
Cell1920,5
Cell1921,5
Cell1922,5
Cell1923,5
Cell1924,5
Cell1925,5
Cell1926,5
Cell1927,5
Cell1928,5
Cell1929,5
Cell1930,5
Cell1931,5
Cell1932,5
Cell1933,5
Cell1934,5
Cell1935,5
Cell1936,5
Cell1937,5
Cell1938,5
Cell1939,5
Cell1940,5
Cell1941,5
Cell1942,5
Cell1943,5
Cell1944,5
Cell1945,5
Cell1946,5
Cell1947,5
Cell1948,5
Cell1949,5
Cell1950,5
Cell1951,5
Cell1952,5
Cell1953,5
Cell1954,5
Cell1955,5
Cell1956,5
Cell1957,5
Cell1958,5
Cell1959,5
Cell1960,5
Cell1961,5
Cell1962,5
Cell1963,5
Cell1964,5
Cell1965,5
Cell1966,5
Cell1967,5
Cell1968,5
Cell1969,5
Cell1970,5
Cell1971,5
Cell1972,5
Cell1973,5
Cell1974,5
Cell1975,5
Cell1976,5
Cell1977,5
Cell1978,5
Cell1979,5
Cell1980,5
Cell1981,5
Cell1982,5
Cell1983,5
Cell1984,5
Cell1985,5
Cell1986,5
Cell1987,5
Cell1988,5
Cell1989,5
Cell1990,5
Cell1991,5
Cell1992,5
Cell1993,5
Cell1994,5
Cell1995,5
Cell1996,5
Cell1997,5
Cell1998,5
Cell1999,5
Cell2000,5
Cell2001,5
Cell2002,5
Cell2003,5
Cell2004,5
Cell2005,5
Cell2006,5
Cell2007,5
Cell2008,5
Cell2009,5
Cell2010,5
Cell2011,5
Cell2012,5
Cell2013,5
Cell2014,5
Cell2015,5
Cell2016,5
Cell2017,5
Cell2018,5
Cell2019,5
Cell2020,5
Cell2021,5
Cell2022,5
Cell2023,5
Cell2024,5
Cell2025,5
Cell2026,5
Cell2027,5
Cell2028,5
Cell2029,5
Cell2030,5
Cell2031,5
Cell2032,5
Cell2033,5
Cell2034,5
Cell2035,5
Cell2036,5
Cell2037,5
Cell2038,5
Cell2039,5
Cell2040,5
Cell2041,5
Cell2042,5
Cell2043,5
Cell2044,5
Cell2045,5
Cell2046,5
Cell2047,5
Cell2048,5
Cell2049,5
Cell2050,5
Cell2051,5
Cell2052,5
Cell2053,5
Cell2054,5
Cell2055,5
Cell2056,5
Cell2057,5
Cell2058,5
Cell2059,5
Cell2060,5
Cell2061,5
Cell2062,5
Cell2063,5
Cell2064,5
Cell2065,5
Cell2066,5
Cell2067,5
Cell2068,5
Cell2069,5
Cell2070,5
Cell2071,5
Cell2072,5
Cell2073,5
Cell2074,5
Cell2075,5
Cell2076,5
Cell2077,5
Cell2078,5
Cell2079,5
Cell2080,5
Cell2081,5
Cell2082,5
Cell2083,5
Cell2084,5
Cell2085,5
Cell2086,5
Cell2087,5
Cell2088,5
Cell2089,5
Cell2090,5
Cell2091,5
Cell2092,5
Cell2093,5
Cell2094,5
Cell2095,5
Cell2096,5
Cell2097,5
Cell2098,5
Cell2099,5
Cell2100,5
Cell2101,5
Cell2102,5
Cell2103,5
Cell2104,5
Cell2105,5
Cell2106,5
Cell2107,5
Cell2108,5
Cell2109,5
Cell2110,5
Cell2111,5
Cell2112,5
Cell2113,5
Cell2114,5
Cell2115,5
Cell2116,5
Cell2117,5
Cell2118,5
Cell2119,5
Cell2120,5
Cell2121,5
Cell2122,5
Cell2123,5
Cell2124,5
Cell2125,5
Cell2126,5
Cell2127,5
Cell2128,5
Cell2129,5
Cell2130,5
Cell2131,5
Cell2132,5
Cell2133,5
Cell2134,5
Cell2135,5
Cell2136,5
Cell2137,5
Cell2138,5
Cell2139,5
Cell2140,5
Cell2141,5
Cell2142,5
Cell2143,5
Cell2144,5
Cell2145,5
Cell2146,5
Cell2147,5
Cell2148,5
Cell2149,5
Cell2150,5
Cell2151,5
Cell2152,5
Cell2153,5
Cell2154,5
Cell2155,5
Cell2156,5
Cell2157,5
Cell2158,5
Cell2159,5
Cell2160,5
Cell2161,5
Cell2162,5
Cell2163,5
Cell2164,5
Cell2165,5
Cell2166,5
Cell2167,5
Cell2168,5
Cell2169,5
Cell2170,5
Cell2171,5
Cell2172,5
Cell2173,5
Cell2174,5
Cell2175,5
Cell2176,5
Cell2177,5
Cell2178,5
Cell2179,5
Cell2180,5
Cell2181,5
Cell2182,5
Cell2183,5
Cell2184,5
Cell2185,5
Cell2186,5
Cell2187,5
Cell2188,5
Cell2189,5
Cell2190,5
Cell2191,5
Cell2192,5
Cell2193,5
Cell2194,5
Cell2195,5
Cell2196,5
Cell2197,5
Cell2198,5
Cell2199,5
Cell2200,5
Cell2201,5
Cell2202,5
Cell2203,5
Cell2204,5
Cell2205,5
Cell2206,5
Cell2207,5
Cell2208,5
Cell2209,5
Cell2210,5
Cell2211,5
Cell2212,5
Cell2213,5
Cell2214,5
Cell2215,5
Cell2216,5
Cell2217,5
Cell2218,5
Cell2219,5
Cell2220,5
Cell2221,5
Cell2222,5
Cell2223,5
Cell2224,5
Cell2225,5
Cell2226,5
Cell2227,5
Cell2228,5
Cell2229,5
Cell2230,5
Cell2231,5
Cell2232,5
Cell2233,5
Cell2234,5
Cell2235,5
Cell2236,5
Cell2237,5
Cell2238,5
Cell2239,5
Cell2240,5
Cell2241,5
Cell2242,5
Cell2243,5
Cell2244,5
Cell2245,5
Cell2246,5
Cell2247,5
Cell2248,5
Cell2249,5
Cell2250,5
Cell2251,5
Cell2252,5
Cell2253,5
Cell2254,5
Cell2255,5
Cell2256,5
Cell2257,5
Cell2258,5
Cell2259,5
Cell2260,5
Cell2261,5
Cell2262,5
Cell2263,5
Cell2264,5
Cell2265,5
Cell2266,5
Cell2267,5
Cell2268,5
Cell2269,5
Cell2270,5
Cell2271,5
Cell2272,5
Cell2273,5
Cell2274,5
Cell2275,5
Cell2276,5
Cell2277,5
Cell2278,5
Cell2279,5
Cell2280,5
Cell2281,5
Cell2282,5
Cell2283,5
Cell2284,5
Cell2285,5
Cell2286,5
Cell2287,5
Cell2288,5
Cell2289,5
Cell2290,5
Cell2291,5
Cell2292,5
Cell2293,5
Cell2294,5
Cell2295,5
Cell2296,5
Cell2297,5
Cell2298,5
Cell2299,5
Cell2300,5
Cell2301,5
Cell2302,5
Cell2303,5
Cell2304,5
Cell2305,5
Cell2306,5
Cell2307,5
Cell2308,5
Cell2309,5
Cell2310,5
Cell2311,5
Cell2312,5
Cell2313,5
Cell2314,5
Cell2315,5
Cell2316,5
Cell2317,5
Cell2318,5
Cell2319,5
Cell2320,5
Cell2321,5
Cell2322,5
Cell2323,5
Cell2324,5
Cell2325,7
Cell2326,7
Cell2327,7
Cell2328,7
Cell2329,7
Cell2330,7
Cell2331,7
Cell2332,7
Cell2333,7
Cell2334,7
Cell2335,7
Cell2336,7
Cell2337,7
Cell2338,7
Cell2339,7
Cell2340,7
Cell2341,7
Cell2342,7
Cell2343,7
Cell2344,7
Cell2345,7
Cell2346,7
Cell2347,7
Cell2348,7
Cell2349,7
Cell2350,7
Cell2351,7
Cell2352,7
Cell2353,7
Cell2354,7
Cell2355,7
Cell2356,7
Cell2357,7
Cell2358,7
Cell2359,7
Cell2360,7
Cell2361,7
Cell2362,7
Cell2363,7
Cell2364,7
Cell2365,7
Cell2366,7
Cell2367,7
Cell2368,7
Cell2369,7
Cell2370,7
Cell2371,7
Cell2372,7
Cell2373,7
Cell2374,7
Cell2375,7
Cell2376,7
Cell2377,7
Cell2378,7
Cell2379,7
Cell2380,7
Cell2381,7
Cell2382,7
Cell2383,7
Cell2384,7
Cell2385,7
Cell2386,7
Cell2387,7
Cell2388,7
Cell2389,7
Cell2390,7
Cell2391,7
Cell2392,7
Cell2393,7
Cell2394,7
Cell2395,7
Cell2396,7
Cell2397,7
Cell2398,7
Cell2399,7
Cell2400,7
Cell2401,7
Cell2402,7
Cell2403,7
Cell2404,7
Cell2405,7
Cell2406,7
Cell2407,7
Cell2408,7
Cell2409,7
Cell2410,7
Cell2411,7
Cell2412,7
Cell2413,7
Cell2414,7
Cell2415,7
Cell2416,7
Cell2417,7
Cell2418,7
Cell2419,7
Cell2420,7
Cell2421,7
Cell2422,7
Cell2423,7
Cell2424,7
Cell2425,7
Cell2426,7
Cell2427,7
Cell2428,7
Cell2429,7
Cell2430,7
Cell2431,7
Cell2432,7
Cell2433,7
Cell2434,7
Cell2435,7
Cell2436,7
Cell2437,7
Cell2438,7
Cell2439,7
Cell2440,7
Cell2441,7
Cell2442,7
Cell2443,7
Cell2444,7
Cell2445,7
Cell2446,7
Cell2447,7
Cell2448,7
Cell2449,7
Cell2450,7
Cell2451,7
Cell2452,7
Cell2453,7
Cell2454,7
Cell2455,7
Cell2456,7
Cell2457,7
Cell2458,7
Cell2459,7
Cell2460,7
Cell2461,7
Cell2462,7
Cell2463,7
Cell2464,7
Cell2465,7
Cell2466,7
Cell2467,7
Cell2468,7
Cell2469,7
Cell2470,7
Cell2471,7
Cell2472,7
Cell2473,7
Cell2474,7
Cell2475,7
Cell2476,7
Cell2477,7
Cell2478,7
Cell2479,7
Cell2480,7
Cell2481,7
Cell2482,7
Cell2483,7
Cell2484,7
Cell2485,7
Cell2486,7
Cell2487,7
Cell2488,7
Cell2489,7
Cell2490,7
Cell2491,7
Cell2492,7
Cell2493,7
Cell2494,7
Cell2495,7
Cell2496,7
Cell2497,7
Cell2498,7
Cell2499,7
Cell2500,7
Cell2501,7
Cell2502,7
Cell2503,7
Cell2504,7
Cell2505,7
Cell2506,7
Cell2507,7
Cell2508,7
Cell2509,7
Cell2510,7
Cell2511,7
Cell2512,7
Cell2513,7
Cell2514,7
Cell2515,7
Cell2516,7
Cell2517,7
Cell2518,7
Cell2519,7
Cell2520,7
Cell2521,7
Cell2522,7
Cell2523,7
Cell2524,7
Cell2525,7
Cell2526,7
Cell2527,7
Cell2528,7
Cell2529,7
Cell2530,7
Cell2531,7
Cell2532,7
Cell2533,7
Cell2534,7
Cell2535,7
Cell2536,7
Cell2537,7
Cell2538,7
Cell2539,7
Cell2540,7
Cell2541,7
Cell2542,7
Cell2543,7
Cell2544,7
Cell2545,7
Cell2546,7
Cell2547,7
Cell2548,7
Cell2549,7
Cell2550,7
Cell2551,7
Cell2552,7
Cell2553,7
Cell2554,7
Cell2555,7
Cell2556,7
Cell2557,7
Cell2558,7
Cell2559,7
Cell2560,7
Cell2561,7
Cell2562,7
Cell2563,7
Cell2564,7
Cell2565,7
Cell2566,7
Cell2567,7
Cell2568,7
Cell2569,7
Cell2570,7
Cell2571,7
Cell2572,7
Cell2573,7
Cell2574,7
Cell2575,7
Cell2576,7
Cell2577,7
Cell2578,7
Cell2579,7
Cell2580,7
Cell2581,7
Cell2582,7
Cell2583,7
Cell2584,7
Cell2585,7
Cell2586,7
Cell2587,7
Cell2588,7
Cell2589,7
Cell2590,7
Cell2591,7
Cell2592,7
Cell2593,7
Cell2594,7
Cell2595,7
Cell2596,7
Cell2597,7
Cell2598,7
Cell2599,7
Cell2600,7
Cell2601,7
Cell2602,7
Cell2603,7
Cell2604,7
Cell2605,7
Cell2606,7
Cell2607,7
Cell2608,7
Cell2609,7
Cell2610,7
Cell2611,7
Cell2612,7
Cell2613,7
Cell2614,7
Cell2615,7
Cell2616,7
Cell2617,7
Cell2618,7
Cell2619,7
Cell2620,7
Cell2621,7
Cell2622,7
Cell2623,7
Cell2624,7
Cell2625,7
Cell2626,7
Cell2627,7
Cell2628,7
Cell2629,7
Cell2630,7
Cell2631,7
Cell2632,7
Cell2633,7
Cell2634,7
Cell2635,7
Cell2636,7
Cell2637,7
Cell2638,7
Cell2639,7
Cell2640,7
Cell2641,7
Cell2642,7
Cell2643,7
Cell2644,7
Cell2645,7
Cell2646,7
Cell2647,7
Cell2648,9
Cell2649,9
Cell2650,9
Cell2651,9
Cell2652,9
Cell2653,9
Cell2654,9
Cell2655,9
Cell2656,9
Cell2657,9
Cell2658,9
Cell2659,9
Cell2660,9
Cell2661,9
Cell2662,9
Cell2663,9
Cell2664,9
Cell2665,9
Cell2666,9
Cell2667,9
Cell2668,9
Cell2669,9
Cell2670,9
Cell2671,9
Cell2672,9
Cell2673,9
Cell2674,9
Cell2675,9
Cell2676,9
Cell2677,9
Cell2678,9
Cell2679,9
Cell2680,9
Cell2681,9
Cell2682,9
Cell2683,9
Cell2684,9
Cell2685,9
Cell2686,9
Cell2687,9
Cell2688,9
Cell2689,9
Cell2690,9
Cell2691,9
Cell2692,9
Cell2693,9
Cell2694,9
Cell2695,9
Cell2696,9
Cell2697,9
Cell2698,9
Cell2699,9
Cell2700,9
Cell2701,9
Cell2702,9
Cell2703,9
Cell2704,9
Cell2705,9
Cell2706,9
Cell2707,9
Cell2708,9
Cell2709,9
Cell2710,9
Cell2711,9
Cell2712,9
Cell2713,9
Cell2714,9
Cell2715,9
Cell2716,9
Cell2717,9
Cell2718,9
Cell2719,9
Cell2720,9
Cell2721,9
Cell2722,9
Cell2723,9
Cell2724,9
Cell2725,9
Cell2726,9
Cell2727,9
Cell2728,9
Cell2729,9
Cell2730,9
Cell2731,9
Cell2732,9
Cell2733,9
Cell2734,9
Cell2735,9
Cell2736,9
Cell2737,9
Cell2738,9
Cell2739,9
Cell2740,9
Cell2741,9
Cell2742,9
Cell2743,9
Cell2744,9
Cell2745,9
Cell2746,9
Cell2747,9
Cell2748,9
Cell2749,9
Cell2750,9
Cell2751,9
Cell2752,9
Cell2753,9
Cell2754,9
Cell2755,9
Cell2756,9
Cell2757,9
Cell2758,9
Cell2759,9
Cell2760,9
Cell2761,9
Cell2762,9
Cell2763,9
Cell2764,9
Cell2765,9
Cell2766,9
Cell2767,9
Cell2768,9
Cell2769,9
Cell2770,9
Cell2771,9
Cell2772,9
Cell2773,9
Cell2774,9
Cell2775,9
Cell2776,9
Cell2777,9
Cell2778,9
Cell2779,9
Cell2780,9
Cell2781,9
Cell2782,9
Cell2783,9
Cell2784,9
Cell2785,9
Cell2786,9
Cell2787,9
Cell2788,9
Cell2789,9
Cell2790,9
Cell2791,9
Cell2792,9
Cell2793,9
Cell2794,9
Cell2795,9
Cell2796,9
Cell2797,9
Cell2798,9
Cell2799,9
Cell2800,9
Cell2801,9
Cell2802,9
Cell2803,9
Cell2804,9
Cell2805,9
Cell2806,9
Cell2807,9
Cell2808,9
Cell2809,9
Cell2810,9
Cell2811,9
Cell2812,9
Cell2813,9
Cell2814,9
Cell2815,9
Cell2816,9
Cell2817,9
Cell2818,9
Cell2819,9
Cell2820,9
Cell2821,9
Cell2822,9
Cell2823,9
Cell2824,9
Cell2825,9
Cell2826,9
Cell2827,9
Cell2828,9
Cell2829,9
Cell2830,9
Cell2831,9
Cell2832,9
Cell2833,9
Cell2834,9
Cell2835,9
Cell2836,9
Cell2837,9
Cell2838,9
Cell2839,9
Cell2840,9
Cell2841,9
Cell2842,9
Cell2843,9
Cell2844,9
Cell2845,9
Cell2846,9
Cell2847,9
Cell2848,9
Cell2849,9
Cell2850,9
Cell2851,9
Cell2852,9
Cell2853,9
Cell2854,9
Cell2855,9
Cell2856,9
Cell2857,9
Cell2858,9
Cell2859,9
Cell2860,9
Cell2861,9
Cell2862,9
Cell2863,9
Cell2864,9
Cell2865,9
Cell2866,9
Cell2867,9
Cell2868,9
Cell2869,9
Cell2870,9
Cell2871,9
Cell2872,9
Cell2873,9
Cell2874,9
Cell2875,9
Cell2876,9
Cell2877,9
Cell2878,9
Cell2879,9
Cell2880,9
Cell2881,9
Cell2882,9
Cell2883,9
Cell2884,9
Cell2885,9
Cell2886,9
Cell2887,9
Cell2888,9
Cell2889,9
Cell2890,9
Cell2891,9
Cell2892,9
Cell2893,9
Cell2894,9
Cell2895,9
Cell2896,9
Cell2897,9
Cell2898,9
Cell2899,9
Cell2900,9
Cell2901,9
Cell2902,9
Cell2903,9
Cell2904,9
Cell2905,9
Cell2906,9
Cell2907,9
Cell2908,9
Cell2909,9
Cell2910,9
Cell2911,9
Cell2912,9
Cell2913,9
